,P-Africa,R-Africa,P-Asia,R-Asia,P-Europe,R-Europe,P-North America,R-North America,P-Oceania,R-Oceania,P-South America,R-South America
42434,,,,,0.9425,87.0,0.802,89,,,,
42435,,,,,0.5106,87.0,0.6808,89,,,,
42436,,,,,0.4404,87.0,0.9366,89,,,,
42437,,,,,0.4939,87.0,0.0,89,,,,
42438,,,,,0.6731,86.0,0.8832,89,,,,
42439,,,,,0.8271,86.0,0.0,89,,,,
42440,,,,,0.8834,86.0,0.6249,89,,,,
42441,,,,,0.7783,86.0,0.5574,89,,,,
42442,,,,,0.7096,86.0,0.34,89,,,,
42443,,,,,0.6815,86.0,0.9217,89,,,,
42444,,,,,0.0,88.0,0.5994,90,,,,
42445,,,,,0.8176,88.0,0.6705,90,,,,
42446,,,,,0.1027,88.0,0.7184,90,,,,
42447,,,,,0.6953,88.0,0.0,90,,,,
42448,,,,,0.8074,88.0,0.8074,90,,,,
42449,,,,,0.7003,88.0,0.8934,90,,,,
42450,,,,,0.6249,94.0,0.5994,90,,,,
42451,,,,,0.891,94.0,0.7269,90,,,,
42452,,,,,0.836,94.0,0.0,90,,,,
42453,,,,,0.3976,94.0,0.7027,90,,,,
42454,,,,,0.6705,88.0,0.3182,90,,,,
42455,,,,,0.5267,88.0,0.6369,90,,,,
42456,,,,,0.4588,88.0,0.84,90,,,,
42457,,,,,0.7506,88.0,0.8863,90,,,,
42458,,,,,0.7096,88.0,-0.0644,90,,,,
42459,,,,,0.6249,88.0,0.8047,90,,,,
42460,,,,,0.4404,88.0,0.3818,90,,,,
42461,,,,,0.7264,88.0,0.9096,87,,,,
42462,,,,,0.0,88.0,0.9186,87,,,,
42463,,,,,0.0258,88.0,0.7992,87,,,,
42464,,,,,0.4404,88.0,0.9081,87,,,,
42465,,,,,0.8625,88.0,0.2152,87,,,,
42466,,,,,0.743,88.0,0.8439,87,,,,
42467,,,,,0.7184,88.0,0.4927,87,,,,
42468,,,,,0.8126,92.0,0.5423,87,,,,
42469,,,,,-0.1779,92.0,0.5859,86,,,,
42470,,,,,0.8402,92.0,0.0,86,,,,
42471,,,,,0.5719,92.0,0.6369,86,,,,
42472,,,,,0.8689,92.0,0.7579,86,,,,
42473,,,,,0.8885,91.0,-0.2144,86,,,,
42474,,,,,0.8689,91.0,-0.1027,86,,,,
42475,,,,,0.7845,91.0,0.7227,86,,,,
42476,,,,,0.6249,91.0,-0.34,86,,,,
42477,,,,,0.5859,87.0,0.7506,86,,,,
42478,,,,,0.6249,87.0,0.0,86,,,,
42479,,,,,0.25,87.0,0.7845,86,,,,
42480,,,,,0.0,87.0,0.3182,88,,,,
42481,,,,,0.4404,87.0,0.0,88,,,,
42482,,,,,0.891,87.0,0.6478,88,,,,
42483,,,,,0.4939,87.0,0.9042,88,,,,
42484,,,,,0.0258,87.0,0.7783,88,,,,
42485,,,,,-0.4215,87.0,-0.2732,88,,,,
42486,,,,,-0.4215,87.0,-0.4215,88,,,,
42487,,,,,-0.6124,87.0,0.0258,88,,,,
42488,,,,,-0.4215,87.0,0.4939,88,,,,
42489,,,,,0.4939,87.0,0.7574,88,,,,
